icd10, model, hcc, hcc_label
B468, v24, 6, Other zygomycoses
B469, v24, 6, Zygomycosis, unspecified
B484, v24, 6, Penicillosis
B488, v24, 6, Other specified mycoses
B582, v24, 6, Toxoplasma meningoencephalitis
B583, v24, 6, Pulmonary toxoplasmosis
B59, v24, 6, Pneumocystosis
B664, v24, 115, Paragonimiasis
B671, v24, 115, Echinococcus granulosus infection of lung
B9735, v24, 1, Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere
C01, v24, 11, Malignant neoplasm of base of tongue
C020, v24, 11, Malignant neoplasm of dorsal surface of tongue
C021, v24, 11, Malignant neoplasm of border of tongue
C022, v24, 11, Malignant neoplasm of ventral surface of tongue
C023, v24, 11, Malignant neoplasm of anterior two-thirds of tongue, part unspecified
C024, v24, 11, Malignant neoplasm of lingual tonsil
C028, v24, 11, Malignant neoplasm of overlapping sites of tongue
C029, v24, 11, Malignant neoplasm of tongue, unspecified
C030, v24, 11, Malignant neoplasm of upper gum
C031, v24, 11, Malignant neoplasm of lower gum
C039, v24, 11, Malignant neoplasm of gum, unspecified
C040, v24, 11, Malignant neoplasm of anterior floor of mouth
C041, v24, 11, Malignant neoplasm of lateral floor of mouth
C048, v24, 11, Malignant neoplasm of overlapping sites of floor of mouth
C049, v24, 11, Malignant neoplasm of floor of mouth, unspecified
C050, v24, 11, Malignant neoplasm of hard palate
C051, v24, 11, Malignant neoplasm of soft palate
C052, v24, 11, Malignant neoplasm of uvula
C058, v24, 11, Malignant neoplasm of overlapping sites of palate
C059, v24, 11, Malignant neoplasm of palate, unspecified
C060, v24, 11, Malignant neoplasm of cheek mucosa
C061, v24, 11, Malignant neoplasm of vestibule of mouth
C062, v24, 11, Malignant neoplasm of retromolar area
C0680, v24, 11, Malignant neoplasm of overlapping sites of unspecified parts of mouth
C0689, v24, 11, Malignant neoplasm of overlapping sites of other parts of mouth
C069, v24, 11, Malignant neoplasm of mouth, unspecified
C07, v24, 11, Malignant neoplasm of parotid gland
C080, v24, 11, Malignant neoplasm of submandibular gland
C081, v24, 11, Malignant neoplasm of sublingual gland
C089, v24, 11, Malignant neoplasm of major salivary gland, unspecified
C090, v24, 11, Malignant neoplasm of tonsillar fossa
C091, v24, 11, Malignant neoplasm of tonsillar pillar (anterior) (posterior)
C098, v24, 11, Malignant neoplasm of overlapping sites of tonsil
C099, v24, 11, Malignant neoplasm of tonsil, unspecified
C100, v24, 11, Malignant neoplasm of vallecula
C101, v24, 11, Malignant neoplasm of anterior surface of epiglottis
C102, v24, 11, Malignant neoplasm of lateral wall of oropharynx
C103, v24, 11, Malignant neoplasm of posterior wall of oropharynx
C104, v24, 11, Malignant neoplasm of branchial cleft
C108, v24, 11, Malignant neoplasm of overlapping sites of oropharynx
C109, v24, 11, Malignant neoplasm of oropharynx, unspecified
C110, v24, 11, Malignant neoplasm of superior wall of nasopharynx
C111, v24, 11, Malignant neoplasm of posterior wall of nasopharynx
C112, v24, 11, Malignant neoplasm of lateral wall of nasopharynx
C113, v24, 11, Malignant neoplasm of anterior wall of nasopharynx
C118, v24, 11, Malignant neoplasm of overlapping sites of nasopharynx
C119, v24, 11, Malignant neoplasm of nasopharynx, unspecified
C12, v24, 11, Malignant neoplasm of pyriform sinus
C130, v24, 11, Malignant neoplasm of postcricoid region
C131, v24, 11, Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
C132, v24, 11, Malignant neoplasm of posterior wall of hypopharynx
C138, v24, 11, Malignant neoplasm of overlapping sites of hypopharynx
C139, v24, 11, Malignant neoplasm of hypopharynx, unspecified
C140, v24, 11, Malignant neoplasm of pharynx, unspecified
C142, v24, 11, Malignant neoplasm of Waldeyer's ring
C148, v24, 11, Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx
C153, v24, 9, Malignant neoplasm of upper third of esophagus
C154, v24, 9, Malignant neoplasm of middle third of esophagus
C155, v24, 9, Malignant neoplasm of lower third of esophagus
C158, v24, 9, Malignant neoplasm of overlapping sites of esophagus
C159, v24, 9, Malignant neoplasm of esophagus, unspecified
C160, v24, 9, Malignant neoplasm of cardia
C161, v24, 9, Malignant neoplasm of fundus of stomach
C162, v24, 9, Malignant neoplasm of body of stomach
C163, v24, 9, Malignant neoplasm of pyloric antrum
C164, v24, 9, Malignant neoplasm of pylorus
C165, v24, 9, Malignant neoplasm of lesser curvature of stomach, unspecified
C166, v24, 9, Malignant neoplasm of greater curvature of stomach, unspecified
C168, v24, 9, Malignant neoplasm of overlapping sites of stomach
C169, v24, 9, Malignant neoplasm of stomach, unspecified
C170, v24, 9, Malignant neoplasm of duodenum
C171, v24, 9, Malignant neoplasm of jejunum
C172, v24, 9, Malignant neoplasm of ileum
C173, v24, 9, Meckel's diverticulum, malignant
C178, v24, 9, Malignant neoplasm of overlapping sites of small intestine
C179, v24, 9, Malignant neoplasm of small intestine, unspecified
C180, v24, 11, Malignant neoplasm of cecum
C181, v24, 11, Malignant neoplasm of appendix
C182, v24, 11, Malignant neoplasm of ascending colon
C183, v24, 11, Malignant neoplasm of hepatic flexure
C184, v24, 11, Malignant neoplasm of transverse colon
C185, v24, 11, Malignant neoplasm of splenic flexure
C186, v24, 11, Malignant neoplasm of descending colon
C187, v24, 11, Malignant neoplasm of sigmoid colon
C188, v24, 11, Malignant neoplasm of overlapping sites of colon
C189, v24, 11, Malignant neoplasm of colon, unspecified
C19, v24, 11, Malignant neoplasm of rectosigmoid junction
C20, v24, 11, Malignant neoplasm of rectum
C210, v24, 11, Malignant neoplasm of anus, unspecified
C211, v24, 11, Malignant neoplasm of anal canal
C212, v24, 11, Malignant neoplasm of cloacogenic zone
C218, v24, 11, Malignant neoplasm of overlapping sites of rectum, anus and anal canal
C220, v24, 9, Liver cell carcinoma
C221, v24, 9, Intrahepatic bile duct carcinoma
C222, v24, 9, Hepatoblastoma
C223, v24, 9, Angiosarcoma of liver
C224, v24, 9, Other sarcomas of liver
C227, v24, 9, Other specified carcinomas of liver
C228, v24, 9, Malignant neoplasm of liver, primary, unspecified as to type
C229, v24, 9, Malignant neoplasm of liver, not specified as primary or secondary
C23, v24, 9, Malignant neoplasm of gallbladder
C240, v24, 9, Malignant neoplasm of extrahepatic bile duct
C241, v24, 9, Malignant neoplasm of ampulla of Vater
C248, v24, 9, Malignant neoplasm of overlapping sites of biliary tract
C249, v24, 9, Malignant neoplasm of biliary tract, unspecified
C250, v24, 9, Malignant neoplasm of head of pancreas
C251, v24, 9, Malignant neoplasm of body of pancreas
C252, v24, 9, Malignant neoplasm of tail of pancreas
C253, v24, 9, Malignant neoplasm of pancreatic duct
C254, v24, 9, Malignant neoplasm of endocrine pancreas
C257, v24, 9, Malignant neoplasm of other parts of pancreas
C258, v24, 9, Malignant neoplasm of overlapping sites of pancreas
C259, v24, 9, Malignant neoplasm of pancreas, unspecified
C260, v24, 11, Malignant neoplasm of intestinal tract, part unspecified
C261, v24, 11, Malignant neoplasm of spleen
C269, v24, 11, Malignant neoplasm of ill-defined sites within the digestive system
C300, v24, 11, Malignant neoplasm of nasal cavity
C301, v24, 11, Malignant neoplasm of middle ear
C310, v24, 11, Malignant neoplasm of maxillary sinus
C311, v24, 11, Malignant neoplasm of ethmoidal sinus
C312, v24, 11, Malignant neoplasm of frontal sinus
C313, v24, 11, Malignant neoplasm of sphenoid sinus
C318, v24, 11, Malignant neoplasm of overlapping sites of accessory sinuses
C319, v24, 11, Malignant neoplasm of accessory sinus, unspecified
C320, v24, 11, Malignant neoplasm of glottis
C321, v24, 11, Malignant neoplasm of supraglottis
C322, v24, 11, Malignant neoplasm of subglottis
C323, v24, 11, Malignant neoplasm of laryngeal cartilage
C328, v24, 11, Malignant neoplasm of overlapping sites of larynx
C329, v24, 11, Malignant neoplasm of larynx, unspecified
C33, v24, 9, Malignant neoplasm of trachea
C3400, v24, 9, Malignant neoplasm of unspecified main bronchus
C3401, v24, 9, Malignant neoplasm of right main bronchus
C3402, v24, 9, Malignant neoplasm of left main bronchus
C3410, v24, 9, Malignant neoplasm of upper lobe, unspecified bronchus or lung
C3411, v24, 9, Malignant neoplasm of upper lobe, right bronchus or lung
C3412, v24, 9, Malignant neoplasm of upper lobe, left bronchus or lung
C342, v24, 9, Malignant neoplasm of middle lobe, bronchus or lung
C3430, v24, 9, Malignant neoplasm of lower lobe, unspecified bronchus or lung
C3431, v24, 9, Malignant neoplasm of lower lobe, right bronchus or lung
C3432, v24, 9, Malignant neoplasm of lower lobe, left bronchus or lung
C3480, v24, 9, Malignant neoplasm of overlapping sites of unspecified bronchus and lung
C3481, v24, 9, Malignant neoplasm of overlapping sites of right bronchus and lung
C3482, v24, 9, Malignant neoplasm of overlapping sites of left bronchus and lung
C3490, v24, 9, Malignant neoplasm of unspecified part of unspecified bronchus or lung
C3491, v24, 9, Malignant neoplasm of unspecified part of right bronchus or lung
C3492, v24, 9, Malignant neoplasm of unspecified part of left bronchus or lung
C37, v24, 11, Malignant neoplasm of thymus
C380, v24, 11, Malignant neoplasm of heart
C381, v24, 11, Malignant neoplasm of anterior mediastinum
C382, v24, 11, Malignant neoplasm of posterior mediastinum
C383, v24, 11, Malignant neoplasm of mediastinum, part unspecified
C384, v24, 9, Malignant neoplasm of pleura
C388, v24, 11, Malignant neoplasm of overlapping sites of heart, mediastinum and pleura
C390, v24, 11, Malignant neoplasm of upper respiratory tract, part unspecified
C399, v24, 11, Malignant neoplasm of lower respiratory tract, part unspecified
C4000, v24, 10, Malignant neoplasm of scapula and long bones of unspecified upper limb
C4001, v24, 10, Malignant neoplasm of scapula and long bones of right upper limb
C4002, v24, 10, Malignant neoplasm of scapula and long bones of left upper limb
C4010, v24, 10, Malignant neoplasm of short bones of unspecified upper limb
C4011, v24, 10, Malignant neoplasm of short bones of right upper limb
C4012, v24, 10, Malignant neoplasm of short bones of left upper limb
C4020, v24, 10, Malignant neoplasm of long bones of unspecified lower limb
C4021, v24, 10, Malignant neoplasm of long bones of right lower limb
C4022, v24, 10, Malignant neoplasm of long bones of left lower limb
C4030, v24, 10, Malignant neoplasm of short bones of unspecified lower limb
C4031, v24, 10, Malignant neoplasm of short bones of right lower limb
C4032, v24, 10, Malignant neoplasm of short bones of left lower limb
C4080, v24, 10, Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
C4081, v24, 10, Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb
C4082, v24, 10, Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb
C4090, v24, 10, Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
C4091, v24, 10, Malignant neoplasm of unspecified bones and articular cartilage of right limb
C4092, v24, 10, Malignant neoplasm of unspecified bones and articular cartilage of left limb
C410, v24, 10, Malignant neoplasm of bones of skull and face
C411, v24, 10, Malignant neoplasm of mandible
C412, v24, 10, Malignant neoplasm of vertebral column
C413, v24, 10, Malignant neoplasm of ribs, sternum and clavicle
C414, v24, 10, Malignant neoplasm of pelvic bones, sacrum and coccyx
C419, v24, 10, Malignant neoplasm of bone and articular cartilage, unspecified
C430, v24, 12, Malignant melanoma of lip
C4310, v24, 12, Malignant melanoma of unspecified eyelid, including canthus
C43111, v24, 12, Malignant melanoma of right upper eyelid, including canthus
C43112, v24, 12, Malignant melanoma of right lower eyelid, including canthus
C43121, v24, 12, Malignant melanoma of left upper eyelid, including canthus
C43122, v24, 12, Malignant melanoma of left lower eyelid, including canthus
C4320, v24, 12, Malignant melanoma of unspecified ear and external auricular canal
C4321, v24, 12, Malignant melanoma of right ear and external auricular canal
C4322, v24, 12, Malignant melanoma of left ear and external auricular canal
C4330, v24, 12, Malignant melanoma of unspecified part of face
C4331, v24, 12, Malignant melanoma of nose
C4339, v24, 12, Malignant melanoma of other parts of face
C434, v24, 12, Malignant melanoma of scalp and neck
C4351, v24, 12, Malignant melanoma of anal skin
C4352, v24, 12, Malignant melanoma of skin of breast
C4359, v24, 12, Malignant melanoma of other part of trunk
C4360, v24, 12, Malignant melanoma of unspecified upper limb, including shoulder
C4361, v24, 12, Malignant melanoma of right upper limb, including shoulder
C4362, v24, 12, Malignant melanoma of left upper limb, including shoulder
C4370, v24, 12, Malignant melanoma of unspecified lower limb, including hip
C4371, v24, 12, Malignant melanoma of right lower limb, including hip
C4372, v24, 12, Malignant melanoma of left lower limb, including hip
C438, v24, 12, Malignant melanoma of overlapping sites of skin
C439, v24, 12, Malignant melanoma of skin, unspecified
C450, v24, 9, Mesothelioma of pleura
C451, v24, 9, Mesothelioma of peritoneum
C452, v24, 9, Mesothelioma of pericardium
C457, v24, 9, Mesothelioma of other sites
C459, v24, 9, Mesothelioma, unspecified
C460, v24, 10, Kaposi's sarcoma of skin
C461, v24, 10, Kaposi's sarcoma of soft tissue
C462, v24, 10, Kaposi's sarcoma of palate
C463, v24, 10, Kaposi's sarcoma of lymph nodes
C464, v24, 10, Kaposi's sarcoma of gastrointestinal sites
C4650, v24, 10, Kaposi's sarcoma of unspecified lung
C4651, v24, 10, Kaposi's sarcoma of right lung
C4652, v24, 10, Kaposi's sarcoma of left lung
C467, v24, 10, Kaposi's sarcoma of other sites
C469, v24, 10, Kaposi's sarcoma, unspecified
C470, v24, 10, Malignant neoplasm of peripheral nerves of head, face and neck
C4710, v24, 10, Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder
C4711, v24, 10, Malignant neoplasm of peripheral nerves of right upper limb, including shoulder
C4712, v24, 10, Malignant neoplasm of peripheral nerves of left upper limb, including shoulder
C4720, v24, 10, Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip
C4721, v24, 10, Malignant neoplasm of peripheral nerves of right lower limb, including hip
C4722, v24, 10, Malignant neoplasm of peripheral nerves of left lower limb, including hip
C473, v24, 10, Malignant neoplasm of peripheral nerves of thorax
C474, v24, 10, Malignant neoplasm of peripheral nerves of abdomen
C475, v24, 10, Malignant neoplasm of peripheral nerves of pelvis
C476, v24, 10, Malignant neoplasm of peripheral nerves of trunk, unspecified
C478, v24, 10, Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
C479, v24, 10, Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
C480, v24, 9, Malignant neoplasm of retroperitoneum
C481, v24, 9, Malignant neoplasm of specified parts of peritoneum
C482, v24, 9, Malignant neoplasm of peritoneum, unspecified
C488, v24, 9, Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
C490, v24, 10, Malignant neoplasm of connective and soft tissue of head, face and neck
C4910, v24, 10, Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder
C4911, v24, 10, Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder
C4912, v24, 10, Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder
C4920, v24, 10, Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip
C4921, v24, 10, Malignant neoplasm of connective and soft tissue of right lower limb, including hip
C4922, v24, 10, Malignant neoplasm of connective and soft tissue of left lower limb, including hip
C493, v24, 10, Malignant neoplasm of connective and soft tissue of thorax
C494, v24, 10, Malignant neoplasm of connective and soft tissue of abdomen
C495, v24, 10, Malignant neoplasm of connective and soft tissue of pelvis
C496, v24, 10, Malignant neoplasm of connective and soft tissue of trunk, unspecified
C498, v24, 10, Malignant neoplasm of overlapping sites of connective and soft tissue
C499, v24, 10, Malignant neoplasm of connective and soft tissue, unspecified
C49A0, v24, 10, Gastrointestinal stromal tumor, unspecified site
C49A1, v24, 10, Gastrointestinal stromal tumor of esophagus
C49A2, v24, 10, Gastrointestinal stromal tumor of stomach
C49A3, v24, 10, Gastrointestinal stromal tumor of small intestine
C49A4, v24, 10, Gastrointestinal stromal tumor of large intestine
C49A5, v24, 10, Gastrointestinal stromal tumor of rectum
C49A9, v24, 10, Gastrointestinal stromal tumor of other sites
C4A0, v24, 12, Merkel cell carcinoma of lip
C4A10, v24, 12, Merkel cell carcinoma of unspecified eyelid, including canthus
C4A111, v24, 12, Merkel cell carcinoma of right upper eyelid, including canthus
C4A112, v24, 12, Merkel cell carcinoma of right lower eyelid, including canthus
C4A121, v24, 12, Merkel cell carcinoma of left upper eyelid, including canthus
C4A122, v24, 12, Merkel cell carcinoma of left lower eyelid, including canthus
C4A20, v24, 12, Merkel cell carcinoma of unspecified ear and external auricular canal
C4A21, v24, 12, Merkel cell carcinoma of right ear and external auricular canal
C4A22, v24, 12, Merkel cell carcinoma of left ear and external auricular canal
C4A30, v24, 12, Merkel cell carcinoma of unspecified part of face
C4A31, v24, 12, Merkel cell carcinoma of nose
C4A39, v24, 12, Merkel cell carcinoma of other parts of face
C4A4, v24, 12, Merkel cell carcinoma of scalp and neck
C4A51, v24, 12, Merkel cell carcinoma of anal skin
C4A52, v24, 12, Merkel cell carcinoma of skin of breast
C4A59, v24, 12, Merkel cell carcinoma of other part of trunk
C4A60, v24, 12, Merkel cell carcinoma of unspecified upper limb, including shoulder
C4A61, v24, 12, Merkel cell carcinoma of right upper limb, including shoulder
C4A62, v24, 12, Merkel cell carcinoma of left upper limb, including shoulder
C4A70, v24, 12, Merkel cell carcinoma of unspecified lower limb, including hip
C4A71, v24, 12, Merkel cell carcinoma of right lower limb, including hip
C4A72, v24, 12, Merkel cell carcinoma of left lower limb, including hip
C4A8, v24, 12, Merkel cell carcinoma of overlapping sites
C4A9, v24, 12, Merkel cell carcinoma, unspecified
C50011, v24, 12, Malignant neoplasm of nipple and areola, right female breast
C50012, v24, 12, Malignant neoplasm of nipple and areola, left female breast
C50019, v24, 12, Malignant neoplasm of nipple and areola, unspecified female breast
C50021, v24, 12, Malignant neoplasm of nipple and areola, right male breast
C50022, v24, 12, Malignant neoplasm of nipple and areola, left male breast
C50029, v24, 12, Malignant neoplasm of nipple and areola, unspecified male breast
C50111, v24, 12, Malignant neoplasm of central portion of right female breast
C50112, v24, 12, Malignant neoplasm of central portion of left female breast
C50119, v24, 12, Malignant neoplasm of central portion of unspecified female breast
C50121, v24, 12, Malignant neoplasm of central portion of right male breast
C50122, v24, 12, Malignant neoplasm of central portion of left male breast
C50129, v24, 12, Malignant neoplasm of central portion of unspecified male breast
C50211, v24, 12, Malignant neoplasm of upper-inner quadrant of right female breast
C50212, v24, 12, Malignant neoplasm of upper-inner quadrant of left female breast
C50219, v24, 12, Malignant neoplasm of upper-inner quadrant of unspecified female breast
C50221, v24, 12, Malignant neoplasm of upper-inner quadrant of right male breast
C50222, v24, 12, Malignant neoplasm of upper-inner quadrant of left male breast
C50229, v24, 12, Malignant neoplasm of upper-inner quadrant of unspecified male breast
C50311, v24, 12, Malignant neoplasm of lower-inner quadrant of right female breast
C50312, v24, 12, Malignant neoplasm of lower-inner quadrant of left female breast
C50319, v24, 12, Malignant neoplasm of lower-inner quadrant of unspecified female breast
C50321, v24, 12, Malignant neoplasm of lower-inner quadrant of right male breast
C50322, v24, 12, Malignant neoplasm of lower-inner quadrant of left male breast
C50329, v24, 12, Malignant neoplasm of lower-inner quadrant of unspecified male breast
C50411, v24, 12, Malignant neoplasm of upper-outer quadrant of right female breast
C50412, v24, 12, Malignant neoplasm of upper-outer quadrant of left female breast
C50419, v24, 12, Malignant neoplasm of upper-outer quadrant of unspecified female breast
C50421, v24, 12, Malignant neoplasm of upper-outer quadrant of right male breast
C50422, v24, 12, Malignant neoplasm of upper-outer quadrant of left male breast
C50429, v24, 12, Malignant neoplasm of upper-outer quadrant of unspecified male breast
C50511, v24, 12, Malignant neoplasm of lower-outer quadrant of right female breast
C50512, v24, 12, Malignant neoplasm of lower-outer quadrant of left female breast
C50519, v24, 12, Malignant neoplasm of lower-outer quadrant of unspecified female breast
C50521, v24, 12, Malignant neoplasm of lower-outer quadrant of right male breast
C50522, v24, 12, Malignant neoplasm of lower-outer quadrant of left male breast
C50529, v24, 12, Malignant neoplasm of lower-outer quadrant of unspecified male breast
C50611, v24, 12, Malignant neoplasm of axillary tail of right female breast
C50612, v24, 12, Malignant neoplasm of axillary tail of left female breast
C50619, v24, 12, Malignant neoplasm of axillary tail of unspecified female breast
C50621, v24, 12, Malignant neoplasm of axillary tail of right male breast
C50622, v24, 12, Malignant neoplasm of axillary tail of left male breast
C50629, v24, 12, Malignant neoplasm of axillary tail of unspecified male breast
C50811, v24, 12, Malignant neoplasm of overlapping sites of right female breast
C50812, v24, 12, Malignant neoplasm of overlapping sites of left female breast
C50819, v24, 12, Malignant neoplasm of overlapping sites of unspecified female breast
C50821, v24, 12, Malignant neoplasm of overlapping sites of right male breast
C50822, v24, 12, Malignant neoplasm of overlapping sites of left male breast
C50829, v24, 12, Malignant neoplasm of overlapping sites of unspecified male breast
C50911, v24, 12, Malignant neoplasm of unspecified site of right female breast
C50912, v24, 12, Malignant neoplasm of unspecified site of left female breast
C50919, v24, 12, Malignant neoplasm of unspecified site of unspecified female breast
C50921, v24, 12, Malignant neoplasm of unspecified site of right male breast
C50922, v24, 12, Malignant neoplasm of unspecified site of left male breast
C50929, v24, 12, Malignant neoplasm of unspecified site of unspecified male breast
C510, v24, 11, Malignant neoplasm of labium majus
C511, v24, 11, Malignant neoplasm of labium minus
C512, v24, 11, Malignant neoplasm of clitoris
C518, v24, 11, Malignant neoplasm of overlapping sites of vulva
C519, v24, 11, Malignant neoplasm of vulva, unspecified
C52, v24, 11, Malignant neoplasm of vagina
C530, v24, 11, Malignant neoplasm of endocervix
C531, v24, 11, Malignant neoplasm of exocervix
C538, v24, 11, Malignant neoplasm of overlapping sites of cervix uteri
C539, v24, 11, Malignant neoplasm of cervix uteri, unspecified
C540, v24, 12, Malignant neoplasm of isthmus uteri
C541, v24, 12, Malignant neoplasm of endometrium
C542, v24, 12, Malignant neoplasm of myometrium
C543, v24, 12, Malignant neoplasm of fundus uteri
C548, v24, 12, Malignant neoplasm of overlapping sites of corpus uteri
C549, v24, 12, Malignant neoplasm of corpus uteri, unspecified
C55, v24, 12, Malignant neoplasm of uterus, part unspecified
